"Biochar Name","Feedstock Composition","Optional comments about Feedstock","Commercial","Geographic Region","Manufacturer","Pyrolysis Method","Source: Peer Reviewed Publication","Reference","Moisture (%)","Temperature (C)","Total Ash Content (%)","C Organic (%)  ","Total C (%) Used in Plot","Total N (%)","H (%)","O (%)","pH","EC (dS/m)","Mean Particle Size (mm)","Germination Inhibition","Polycylic Aromatic Hydrocarbons (mg/kg)","Dioxin/Furan (mg/kg)","Polychlorinated Biphenyls (mg/kg)","Arsenic (mg/kg)","Cadmium (mg/kg)","Chromium (mg/kg)","Cobalt (mg/kg)","Copper (mg/kg)","Lead (mg/kg)","Molybdenum (mg/kg)","Mercury (mg/kg)","Nickel (mg/kg)","Selenium (mg/kg)","Zinc (mg/kg)","Boron (mg/kg)","Chlorine (mg/kg)","Sodium (mg/kg)","Previous Page","Cation Exchange Capacity (cmolc/kg)","Method Summary/Reference","Volatile Matter (%)","Total Surface Area (m2/g)","Method Summary/Reference","Extractable P (mg/kg)","Total P (mg/kg)","Calcium (mg/kg)","Magnesium (mg/kg)","Potassium (mg/kg)","Aluminum (mg/kg)","Iron (mg/kg)","Elemental extraction method",
"WS 450","Grass","Wheat straw","Non commercial","","","Fast","Yes","Hu, Y.-L et al., Biology and Fertility of Soils 50, 8 (2014) 1291-1299.","","450","13.83","","69.0","0.3","","","9.93","","","","","","","","","","","","","","","","","","","","400","","39","","","","","","","2600","133","8990","","","",
"PSWH 500","Other/ Mixed","Paper sludge and wheat husks","Non commercial",""," 500-III pyrolysis screw reactor PYREG GmbH, Dörth, Germany","Slow","Yes","Mumme, J et al., Bioresource Technology 164 (2014) 189-197.","","500","39.2","","51.5","1.55","1.24","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Grass 400","Grass","Mixture of grasses including Lolium perenne, Bromus hordeaceus, Jacobaea vulgaris, and Holcus lanatus","Non commercial","Netherlands","Biogreen, ETIA, France using a Biogreen 130 pyrolyser","Slow","Yes","Oram, N. J et al., Agriculture, Ecosystems & Environment 191 (2014) 92-98.","","400","25.22","","59.02","1.91","3.81","","7.41","","","","","","","","","","","","","","","","","","","","","","","","32.10","","","","","","","","","","",
"BC 300","Other/ Mixed","Burcucumber plants","Non commercial","","","Slow","Yes","Vithanage, M et al., Journal of Environmental Management 141 (2014) 95-103.","2.86","300","31.24","","68.37","5.24","6.00","20.39","10.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"BC 700","Other/ Mixed","Burcucumber plants","Non commercial","","","Slow","Yes","Vithanage, M et al., Journal of Environmental Management 141 (2014) 95-103.","2.87","700","54.29","","78.07","4.78","2.48","14.66","12.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CS 600","Grass","Corn Straw","Non commercial","","","Slow","Yes","Song, Z et al., Chemical Engineering Journal 242 (2014) 36-42.","","600","5.02","","85.3","0.80","1.75","5.16","10.0","","","","","","","","","","","","","","","","","","","","","","","","","61.0","BET Analysis","","","","","","","","",
"WS 500","Grass","Wheat Straw","Non commercial","","","Slow","Yes","Liu, X et al., Agricultural Systems 129 (2014) 22-29.","","500","20.8","46.7","","0.59","","","10.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"TW 300","Other/ Mixed","Tea Waste","Non commercial","","","Slow ","Yes","Rajapaksha, A. U et al., Bioresource Technology 166 (2014) 303-308.","2.80","300","5.69","","70.05","4.97","5.24","19.62","7.93","","","","","","","","","","","","","","","","","","","","","","","","","2.28","","","","","","","","","",
"TW 700","Other/ Mixed","Tea Waste","Non commercial","","","Slow","Yes","Rajapaksha, A. U et al., Bioresource Technology 166 (2014) 303-308.","4.23","700","10.87","85.11","","3.92","1.98","8.88","11.05","","","","","","","","","","","","","","","","","","","","","","","","","342.22","","","","","","","","","",
"TW 300N","Other/ Mixed","Tea Waste","Non commercial","","","Slow produced under N2 flow","Yes","Rajapaksha, A. U et al., Bioresource Technology 166 (2014) 303-308.","0.87","300","5.87","","68.53","5.48","3.96","21.91","6.74","","","","","","","","","","","","","","","","","","","","","","","","","0.90","","","","","","","","","",
"TW 700N","Other/ Mixed","Tea Waste","Non commercial","","","Slow produced under N2 flow","Yes","Rajapaksha, A. U et al., Bioresource Technology 166 (2014) 303-308.","9.02","700","11.60","","79.91","4.28","2.17","13.54","9.97","","","","","","","","","","","","","","","","","","","","","","","","","421.31","","","","","","","","","",
"PW 550","Hard Wood","Populus nigra (Poplar) wood chips","Non commercial","","","Slow","Yes","Marks, E. N et al., Plant and Soil (2014) 1-19.","","550","","","81.07","0.48","2.07","12.3","8.21","0.784","","","","","","","","213","","109","74.7","","","253","","130","","","960","","","","","","","","1960","9570","1310","6570","","1970","",
"PW 510","Hard Wood","Populus nigra wood chip","Non commercial","","","Fast","Yes","Marks, E. N et al., Plant and Soil (2014) 1-19.","","510","","","73.11","0.35","3.27","18.8","8.14","0.610","","","","","","","","40","","29","62.1","","","23","","540","","","1030","","","","","","","","570","12180","1590","9210","","1780","",
"WW 550","Sludge","Wastewater sludge","Non commercial","","","Slow","Yes","Marks, E. N et al., Plant and Soil (2014) 1-19.","","550","","","22.34","2.26","1.20","4.0","8.70","1.624","","","","","","12.4","2.2","385","","767","277.0","","","249","","3074","","","3840","","","","","","","51190","","89110","11830","9090","","42650","",
"PPPR 900","Soft Wood","Pinus pinaster + P. radiata wood chip","Non commercial","","","Gasification","Yes","Marks, E. N et al., Plant and Soil (2014) 1-19.","","900","","","71.03","0.12","0.53","8.7","11.42","1.888","","","","","","","1.2","26","","219","9.1","","","10","","823","","","780","","","","","","","","800","92.340","2590","8250","","1530","",
"PPPR 550","Soft Wood","Pinus pinaster + P. radiata wood chip","Non commercial","","","Slow","Yes","Marks, E. N et al., Plant and Soil (2014) 1-19.","","550","","","86.26","0.12","1.97","9.1","7.29","0.565","","","","","","","","83","","27","15.7","","","97","","70","","","330","","","","","","","","3510","3770","980","3480","","1210","",
"PPPR 480","Soft Wood","Pinus pinaster + P. radiata wood chip","Non commercial","","","Fast","Yes","Marks, E. N et al., Plant and Soil (2014) 1-19.","","480","","","71.76","0.19","3.40","22.0","8.04","0.639","","","","","","","","26","","13","10.1","","","25","","181","","","480","","","","","","","","480","8270","1420","6400","","1580","",
"SP 350 10, 0","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow 10 minute residence time and and carrier flow rate 0 l min-1","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","15.0","","61.4","1.0","3.6","19.0","","","","","","","","","","","","","","","","","","","","","","","","","39.2","","","","","","","","","","",
"SP 350 20, 0","Grass"," mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow rate of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","15.3","","62.7","1.1","4.4","16.5","","","","","","","","","","","","","","","","","","","","","","","","","39.1","","","","","","","","","","",
"SP 350 40, 0","Grass"," mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","slow with 40 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","21.7","","56.6","1.1","2.9","17.6","","","","","","","","","","","","","","","","","","","","","","","","","38.8","","","","","","","","","","",
"SP 650 10, 0","Grass"," mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","20.9","","71.1","1.0","1.3","5.8","","","","","","","","","","","","","","","","","","","","","","","","","19.9","","","","","","","","","","",
"SP 650 20, 0","Grass"," mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","22.9","","72.1","0.9","1.3","2.8","","","","","","","","","","","","","","","","","","","","","","","","","19.6","","","","","","","","","","",
"SP 650 40, 0","Grass"," mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 40 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","20.9","","73.2","1.1","1.2","3.5","","","","","","","","","","","","","","","","","","","","","","","","","16.2","","","","","","","","","","",
"SP 350 10, 0.33","Grass"," mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","12.3","","55.5","0.9","4.2","27.1","","","","","","","","","","","","","","","","","","","","","","","","","51.0","","","","","","","","","","",
"SP 350 20, 0.33","Grass","","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","14.2","","60.4","0.9","5.2","27.1","","","","","","","","","","","","","","","","","","","","","","","","","51.0","","","","","","","","","","",
"SP 350 40, 0.33","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 40 minute residence time and  carrier flow 0.33","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","16.2","","62.1","1.0","3.0","17.8","","","","","","","","","","","","","","","","","","","","","","","","","37.0","","","","","","","","","","",
"SP 650 10, 0.33","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","21.4","","69.2","1.0","1.2","7.2","","","","","","","","","","","","","","","","","","","","","","","","","20.4","","","","","","","","","","",
"SP 650 20, 0.33","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.33","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","20.1","","71.2","1.0","1.0","6.7","","","","","","","","","","","","","","","","","","","","","","","","","17.7","","","","","","","","","","",
"SP 650 40, 0.33","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","slow with 40 minute residence time and carrier flow 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","21.8","","71.4","1.2","1.1","4.6","","","","","","","","","","","","","","","","","","","","","","","","","19.0","","","","","","","","","","",
"SP 350 10, 0.66","Grass","","Non commercial","","","slow with residence time of 10 minutes and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","15.2","","62.0","1.1","4.7","16.9","","","","","","","","","","","","","","","","","","","","","","","","","40.6","","","","","","","","","","",
"SP 350 20, 0.66","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","slow with 20 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","16.0","","62.9","1.1","4.6","15.4","","","","","","","","","","","","","","","","","","","","","","","","","36.9","","","","","","","","","","",
"SP 350 40, 0.66","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 40 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","16.6","","64.6","1.1","4.3","13.4","","","","","","","","","","","","","","","","","","","","","","","","","33","","","","","","","","","","",
"SP 650 10, 0.66","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","20.5","","71.8","1.0","1.6","5.1","","","","","","","","","","","","","","","","","","","","","","","","","20.0","","","","","","","","","","",
"SP 650 20, 0.66","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","21.4","","68.8","1.1","1.4","7.4","","","","","","","","","","","","","","","","","","","","","","","","","22.5","","","","","","","","","","",
"SP 650 40, 0.66","Grass","mixed 50/50 wheat : oilseed rape straw pellets","Non commercial","","","Slow with residence time of 40 minutes and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","22.0","","72.5","1.1","1.3","3.0","","","","","","","","","","","","","","","","","","","","","","","","","16.2","","","","","","","","","","",
"WP 350 10, 0","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","slow with residence time of 10 minutes and carrier flow 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","0.8","","67.3","0.0","4.5","27.5","","","","","","","","","","","","","","","","","","","","","","","","","50.7","","","","","","","","","","",
"WP 350 20, 0","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.2","","63.5","0.1","5.3","30.00","","","","","","","","","","","","","","","","","","","","","","","","","48.0","","","","","","","","","","",
"WP 350 40, 0","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with residence time of 40 minutes and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.2","","68.4","0.0","4.6","30.0","","","","","","","","","","","","","","","","","","","","","","","","","44.2","","","","","","","","","","",
"WP 650 10, 0","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","1.4","","90.4","0.1","2.2","5.9","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","","","","","","","","",
"WP 650 20, 0","Hard Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","2.1","","89.8","0.1","2.2","5.9","","","","","","","","","","","","","","","","","","","","","","","","","7.5","","","","","","","","","","",
"WP 650 40, 0","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 40 minute residence time and carrier flow of 0 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","2.0","","90.0","0.1","2.0","5.9","","","","","","","","","","","","","","","","","","","","","","","","","6.7","","","","","","","","","","",
"WP 350 10, 0.33","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.4","","71.4","0.0","4.5","22.7","","","","","","","","","","","","","","","","","","","","","","","","","40.7","","","","","","","","","","",
"WP 350 20, 0.33","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.2","","70.6","0.1","5.5","22.6","","","","","","","","","","","","","","","","","","","","","","","","","42.4","","","","","","","","","","",
"WP 350 40, 0.33","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 40 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.4","","71.4","0.0","4.5","22.7","","","","","","","","","","","","","","","","","","","","","","","","","38.4","","","","","","","","","","",
"WP 650 10, 0.33","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","2.2","","92.8","0.0","1.7","3.3","","","","","","","","","","","","","","","","","","","","","","","","","8.8","","","","","","","","","","",
"WP 650 20, 0.33","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.33 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","2.8","","87.9","0.1","2.1","7.2","","","","","","","","","","","","","","","","","","","","","","","","","8.8","","","","","","","","","","",
"WP 650 40, 0.33","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 40 minute residence time and carrier flow of 0.33 l/in","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","1.5","","90.2","0.0","1.8","6.4","","","","","","","","","","","","","","","","","","","","","","","","","9.1","","","","","","","","","","",
"WP 350 10, 0.66","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.6 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.2","","70.1","0.1","5.1","23.4","","","","","","","","","","","","","","","","","","","","","","","","","44.1","","","","","","","","","","",
"WP 350 20, 0.66","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.3","","76.4","0.1","5.0","17.2","","","","","","","","","","","","","","","","","","","","","","","","","44.1","","","","","","","","","","",
"WP 350 40, 0.66","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","slow with 40 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","350","1.5","","67.4","0.1","5.9","25.2","","","","","","","","","","","","","","","","","","","","","","","","","42.6","","","","","","","","","","",
"WP 650 10, 0.66","Soft Wood","","Non commercial","","","Slow with 10 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","1.5","","90.2","0.0","1.8","6.5","","","","","","","","","","","","","","","","","","","","","","","","","42.6","","","","","","","","","","",
"WP 650 20, 0.66","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","Slow with 20 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","1.8","","87.1","0.0","1.8","9.3","","","","","","","","","","","","","","","","","","","","","","","","","9.1","","","","","","","","","","",
"WP 650 40, 0.66","Soft Wood"," 5/95 pine : spruce softwood pellets","Non commercial","","","slow with 40 minute residence time and carrier flow of 0.66 l/min","Yes","Crombie, K et al., GCB Bioenergy (2014).","","650","1.2","","87.4","0.0","1.8","9.6","","","","","","","","","","","","","","","","","","","","","","","","","9.7","","","","","","","","","","",
"WS 400","Grass","Wheat Straw","Non commercial","","Longkou City Factory Furnace, China","Slow","Yes","Li, H et al., Bioresource Technology 163 (2014) 193-198.","","400","2.07","","58.51","0.99","3.23","35.84","","","","","","","","","","","","","","","","","","","","","","","","","","427","BET Analysis","","","","","","","","",
"WS 600","Grass","Wheat straw","Non commercial","","Longkou City Factory Furnace, China","Slow","Yes","Li, H et al., Bioresource Technology 163 (2014) 193-198.","","600","4.63","","67.72","0.94","2.41","26.19","","","","","","","","","","","","","","","","","","","","","","","","","","537","BET Analysis","","","","","","","","",
"WS 800","Grass","Wheat straw","Non commercial","","Longkou City Factory Furnace, China","Slow","Yes","Li, H et al., Bioresource Technology 163 (2014) 193-198.","","800","5.12","","80.08","1.13","1.71","13.23","","","","","","","","","","","","","","","","","","","","","","","","","","652","BET Analysis","","","","","","","","",
"SS 450","Sludge","Sewage sludge","Non commercial","","","Slow","Yes","Liu, T et al., Pol. J. Environ. Stud. 23 (2014) 271-275.","","450","","","21.3","3.17","","","8.6","","","","","","","","4.12","92.2","","124.8","67.5","","","","","749","","","","","","","","","","1310","15400","","","13800","","","",
"RB 300","Hull","rice bran","Non commercial","","","Slow","Yes","Xu, Y et al., Journal of Soils and Sediments (2014) 1-11.","","300","21.4","","69.1","2.44","4.32","24.2","7.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RB 700","Hull","rice bran","Non commercial","","","Slow","Yes","Xu, Y et al., Journal of Soils and Sediments (2014) 1-11.","","700","36.4","","85.0","2.15","1.41","11.5","9.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"TW 350","Other/ Mixed","Tomato waste","Non commercial","","","","Yes","Onal, E et al., Progress in Exergy, Energy, and the Environment (2014) 733-740.","","350","","","49.7","3.8","7.4","39.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"SMB 250","Other/ Mixed","dried root of Salvia miltiorrhiza Bunge","Non commercial","","","Slow","Yes","Lian, F et al., Chemical Engineering Journal 248 (2014) 128-134.","","250","14.7","","43.7","2.76","10.5","28.0","6.7","","","","","","","","","","","","","","","","","","","","","","","","","3.8","BET Analysis","","","","","","","","",
"SMB 400","Other/ Mixed","dried root of Salvia miltiorrhiza Bunge","Non commercial","","","Slow","Yes","Lian, F et al., Chemical Engineering Journal 248 (2014) 128-134.","","400","28.3","","53.6","3.22","5.81","8.84","10.2","","","","","","","","","","","","","","","","","","","","","","","","","49.2","BET Analysis","","","","","","","","",
"SMB 600","Other/ Mixed","dried root of Salvia miltiorrhiza Bunge","Non commercial","","","Slow","Yes","Lian, F et al., Chemical Engineering Journal 248 (2014) 128-134.","","600","31.1","","55.0","2.68","2.15","2.88","10.1","","","","","","","","","","","","","","","","","","","","","","","","","51.3","BET Analysis","","","","","","","","",
"SMB 800","Other/ Mixed","dried root of Salvia miltiorrhiza Bunge","Non commercial","","","Slow","Yes","Lian, F et al., Chemical Engineering Journal 248 (2014) 128-134.","","800","37.1","","62.1","2.21","0.45","3.95","10.6","","","","","","","","","","","","","","","","","","","","","","","","","70.3","BET Analysis","","","","","","","","",
"SG 500","Grass","Switch grass","Non commercial","","","Slow","Yes","Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.","","500","","","85.6","","","12.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PL 350","Other/ Mixed","Poultry litter","Non commercial","","","Slow","Yes","Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.","","350","","","47.9","","","20.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PC/PL 350","Other/ Mixed","Pine Chip and Poultry Litter","Non commercial","","","Slow","Yes","Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.","","350","","","53.3","","","15.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PC 700","Soft Wood","Pine Chips","Non commercial","","","Slow","Yes","Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.","","700","","","84.7","","","13.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HW 500","Hard Wood","","Non commercial","","","Slow","Yes","Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.","","500","","","86.4","","","20.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MNS 500","Nutshell","Macadamia nutshells","Non commercial","","","Slow","Yes","Spokas, K et al., Environmental Science & Technology Letters 1 (2014) 326-332.","","500","","","68.4","","","26.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MNS 465","Nutshell","Macadamia nutshells","Non commercial","","","Slow","Yes","Khan, N et al., Bioresource Technology 168 (2014) 245-251.","","465","","","74.72","0.66","","","10.29","0.17","","","","","","","","","","","","","","","","","","","","","","","","202.49","","","900","","","10200","","","",
"HW 650","Hard Wood","","Non commercial","","","Slow","Yes","Khan, N et al., Bioresource Technology 168 (2014) 245-251.","","650","","","67.07","0.25","","","3.05","8.22","","","","","","","","","","","","","","","","","","","","","","","","0.35","","","","","","","","","",
"CL 550","Other/ Mixed","Chicken Litter","Non commercial","","","Slow","Yes","Khan, N et al., Bioresource Technology 168 (2014) 245-251.","","550","","","33.20","3.84","","","7.83","4.80","","","","","","","","","","","","","","","","","","","","","","","","12.80","","","11900","","","28500","","","",
"SW 550","Soft Wood","Softwood pellets","Non commercial","","","Slow","Yes","Buss, W et al., Journal of Environmental Management 137 (2014) 111-119.","1.71","550","1.67","","85.05","","","","7.12","","","","","","","","","","","","","","","","","","","","","","","","14.95","","","","","","","","","","",
"MG 350","Grass","Miscanthus Grass","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.0","350","4.9","","66.9","0.7","3.8","23.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 400","Grass","Miscanthus Grass","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.3","400","5.4","","69.8","0.7","3.4","20.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 450","Grass","Miscanthus Grass","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.1","450","6.5","","72.8","0.6","2.9","17.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 550","Grass","Miscanthus grass","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","","550","6.6","","81.8","0.5","2.1","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 600","Grass","Miscanthus Grass","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","","600","6.4","","83.5","0.5","1.6","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 700","Grass","Miscanthus grass","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","","700","6.9","","84.2","0.6","0.8","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 350","Grass","Miscanthus grass","Non commercial","","","Intermediate","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","2.3","350","1.8","","51.4","0.5","5.4","40.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 360","Grass","Miscanthus grass","Non commercial","","","Intermediate","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","2.2","360","3.2","","51.5","0.2","5.9","39.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 370","Grass","Miscanthus Grass","Non commercial","","","Intermediate","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","2.5","370","4.9","","67.6","0.5","5.1","21.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 400","Grass","Miscanthus grass","Non commercial","","","Intermediate","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","2.9","400","5.1","","68.8","0.7","4.4","21.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 425","Grass","Miscanthus grass","Non commercial","","","intermediate","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.1","425","5.4","","70.1","0.5","4.5","19.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MG 450","Grass","Miscanthus grass","Non commercial","","","intermediate","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.8","450","5.3","","68.0","0.8","4.0","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 300","Hard Wood","Mesquite","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.0","300","2.9","","58.1","0.5","4.3","34.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 350","Hard Wood","Mesquite wood","Non commercial","","","slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.7","350","2.7","","70.0","0.7","3.8","22.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 400","Grass","Mesquite wood","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.1","400","3.3","","71.9","0.9","3.5","20.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"MW 450","Hard Wood","Mesquite Wood","Non commercial","","","Slow","Yes","Brewer, C. E et al.,Biomass and Bioenergy 66 (2014) 176-185.","3.6","450","4.4","","74.8","1.0","3.1","16.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
